model,accuracy,precision,recall,f1,roc_auc
logistic_regression,0.8153695781674095,0.5776128421722584,0.8519584821323913,0.6884475525117097,0.9136645147978981
random_forest,0.8625108620276135,0.789827989997897,0.5800699778852692,0.6688615972046682,0.9175185058269605
hist_gradient_boosting,0.8723764714264307,0.7821146682180786,0.647299801774909,0.7083372855292884,0.9277292406899189
xgboost,0.8377242517901552,0.616685966970806,0.8518436756818708,0.7154168770837237,0.92830744860865
