model,accuracy,precision,recall,f1,roc_auc
logistic_regression,0.8067337868496306,0.5645506343552251,0.8438538500209687,0.6764895404246947,0.9048374535389424
random_forest,0.8599419959977179,0.7871372204700238,0.5688838703123412,0.6604060663015292,0.9140562063686101
hist_gradient_boosting,0.8719939129703225,0.7834905049714652,0.6430767086820506,0.7063438747017345,0.9271563403524861
xgboost,0.8375875277504244,0.6158097189480818,0.855725279820373,0.7161757716693541,0.9288194477775658
